Usługi dla kobiet
Strzyżenie - włosy krótkie;150;;45;
Strzyżenie - włosy średnie;170;;60;
Strzyżenie - włosy długie;200;;75;
Strzyżenie - włosy bardzo długie;230;;90;
Modelowanie - włosy krótkie;70;;30;
Modelowanie - włosy średnie;80;;45;
Modelowanie - włosy długie;100;;60;
Wysuszenie włosów - włosy krótkie;40;;20;
Wysuszenie włosów - włosy średnie;50;;30;
Wysuszenie włosów - włosy długie;60;;40;
Fryzura wieczorowa - włosy średnie;200;;60;
Fryzura wieczorowa - włosy długie;250;;90;
Fryzura wieczorowa - włosy bardzo długie;280;;120;
Fryzura ślubna;280;;150;
Próbna fryzura ślubna;200;;90;
Grzywka;30;;15;
Farbowanie Koleston Perfect - włosy krótkie;320;;90;
Farbowanie Koleston Perfect - włosy średnie;340;;120;
Farbowanie Koleston Perfect - włosy długie;360;;150;
Farbowanie Koleston Perfect - włosy bardzo długie;400;;180;
Farbowanie Ilumina Premium - włosy krótkie;320;;90;
Farbowanie Ilumina Premium - włosy średnie;340;;120;
Farbowanie Ilumina Premium - włosy długie;360;;150;
Farbowanie Ilumina Premium - włosy bardzo długie;400;;180;
Tonowanie Color Touch - włosy krótkie;320;;60;
Tonowanie Color Touch - włosy średnie;340;;90;
Tonowanie Color Touch - włosy długie;360;;120;
Tonowanie Color Touch - włosy bardzo długie;400;;150;
Koloryzacja Air Touch - włosy średnie;600;;180;
Koloryzacja Air Touch - włosy długie;700;;240;
Koloryzacja Air Touch - włosy bardzo długie;800;;300;
Odrosty - włosy krótkie;300;;60;
Odrosty - włosy średnie;320;;75;
Odrosty - włosy długie;340;;90;
Odrosty - włosy bardzo długie;360;;120;
Dodatkowy kolor (odrost) - włosy krótkie;50;;30;
Dodatkowy kolor (odrost) - włosy średnie;60;;30;
Dodatkowy kolor (odrost) - włosy długie;80;;45;
Dodatkowy kolor (odrost) - włosy bardzo długie;100;;60;
Dekoloryzacja;40;70;60;0.5p 20ml-40zł / 1p 30ml-50zł / 1.5p 45ml-55zł / 2p 60ml-70zł
Rozjaśnienie globalne włosów - włosy krótkie;400;;120;
Rozjaśnienie globalne włosów - włosy średnie;600;;150;
Rozjaśnienie globalne włosów - włosy długie;700;;180;
Rozjaśnienie globalne włosów - włosy bardzo długie;800;;240;
Trwała podnosząca - włosy krótkie;280;;90;
Trwała podnosząca - włosy średnie;320;;120;
Trwała ondulacja - włosy krótkie;280;;90;
Trwała ondulacja - włosy średnie;320;;120;
Trwała ondulacja - włosy długie;340;;150;
Trwała ondulacja - włosy bardzo długie;380;;180;
Strzyżenie dziecięce - włosy średnie;80;;30;
Strzyżenie dziecięce - włosy długie;100;;45;
Botox na włosy - włosy krótkie;300;;60;
Botox na włosy - włosy średnie;350;;90;
Botox na włosy - włosy długie;400;;120;
Botox na włosy - włosy bardzo długie;450;;150;
Złote proteiny - włosy krótkie;350;;90;
Złote proteiny - włosy średnie;450;;120;
Złote proteiny - włosy długie;550;;150;
Złote proteiny - włosy bardzo długie;650;;180;
Olaplex do koloryzacji;60;;30;
Pielęgnacja do koloryzacji - włosy krótkie;70;;30;
Pielęgnacja do koloryzacji - włosy średnie;100;;45;
Pielęgnacja do koloryzacji - włosy długie;140;;60;
Pielęgnacja do koloryzacji - włosy bardzo długie;180;;75;
Korekta Hair Extension - włosy krótkie;230;;60;
Korekta Hair Extension - włosy bardzo długie;450;;180;
Usługi dla mężczyzn
Strzyżenie męskie - krótkie;80;;30;
Strzyżenie męskie - średnie;90;;45;
Strzyżenie męskie - długie;100;;60;
Strzyżenie maszynką;70;;20;
Strzyżenie brody;60;;20;
Strzyżenie broda + podgolenie;70;;25;
Strzyżenie włosy + broda;120;;45;
Combo włosy + broda + kompres;130;;60;
Golenie twarzy;70;;25;
Golenie głowy;70;;20;
Baleyage lub pasemka;140;;90;
Odsiwianie;50;;30;
Koloryzacja;180;;45;
Dekoloryzacja;50;70;45;1p 30ml-50zł / 1.5p 45ml-60zł / 2p 60ml-70zł
Pigmentacja;100;;30;
Strzyżenie dziecięce chłopcy do 4 lat;60;;20;
